POSTNR	POSTSTAD	POSTNR- OG STAD	BRUKSOMRÅDE	FOLKETAL	BYDEL	KOMMNR	KOMMUNE	FYLKE	LAT	LON	DATAKVALITET	DATAKVALITETSFORKLARING	SIST OPPDATERT
1833	Askim	1833 ASKIM	Postboksar			3014	Indre Østfold	Viken	59.59	11.12	6	Usikker plassering	2020-02-19 01:12:07
1835	Enebakk (ikkje i bruk)	1835 ENEBAKK (ikkje i bruk)	Historisk			3028	Enebakk	Viken	59.7619	11.1475	6	Usikker plassering	2020-02-19 01:28:58
1838	Flateby (ikkje i bruk)	1838 FLATEBY (ikkje i bruk)	Historisk			3028	Enebakk	Viken	59.8346	11.1408	6	Usikker plassering	2020-02-19 01:28:58
1840	Kråkstad (ikkje i bruk)	1840 KRÅKSTAD (ikkje i bruk)	Historisk			3020	Nordre Follo	Viken	59.6813	10.8836	6	Usikker plassering	2020-02-19 01:28:58
1845	Skotbu (ikkje i bruk)	1845 SKOTBU (ikkje i bruk)	Historisk			3020	Nordre Follo	Viken	59.6650	10.9489	6	Usikker plassering	2020-02-19 01:28:58
1850	Mysen	1850 MYSEN	Gate-/veg-adresse	7980		3014	Indre Østfold	Viken	59.5535	11.3258	2	Koordinatane er retta av Erik Bolstad	2020-02-19 01:12:19
1851	Mysen	1851 MYSEN	Postboksar			3014	Indre Østfold	Viken	59.55329	11.33273	1	Koordinatane gjeld postkontoret	2020-02-19 01:12:07
1852	MYSEN	1852 MYSEN	Gate-/veg-adresse			3014	Indre Østfold	Viken	59.5443	11.3733	2	Koordinatane er retta av Erik Bolstad	2020-02-19 01:12:19
1859	Slitu	1859 SLITU	Gate-/veg-adresse	954		3014	Indre Østfold	Viken	59.5854	11.2615	2	Koordinatane er retta av Erik Bolstad	2020-02-19 01:12:19
1860	Trøgstad	1860 TRØGSTAD	Gate-/veg-adresse	3515		3014	Indre Østfold	Viken	59.6407	11.3159	2	Koordinatane er retta av Erik Bolstad	2020-02-19 01:12:19
1861	Trøgstad	1861 TRØGSTAD	Postboksar			3014	Indre Østfold	Viken	59.64082	11.31641	1	Koordinatane gjeld postkontoret	2020-02-19 01:12:07
1866	Båstad	1866 BÅSTAD	Gate-/veg-adresse	1334		3014	Indre Østfold	Viken	59.6997	11.2981	2	Koordinatane er retta av Erik Bolstad	2020-02-19 01:12:19
1867	Båstad	1867 BÅSTAD	Postboksar			3014	Indre Østfold	Viken	59.70498	11.29447	1	Koordinatane gjeld postkontoret	2020-02-19 01:12:07
1870	Ørje	1870 ØRJE	Gate-/veg-adresse	3420		3013	Marker	Viken	59.4802	11.6602	2	Koordinatane er retta av Erik Bolstad	2020-02-19 01:12:21
1871	Ørje	1871 ØRJE	Postboksar			3013	Marker	Viken	59.48066	11.6616	1	Koordinatane gjeld postkontoret	2020-02-19 01:12:08
1875	Otteid	1875 OTTEID	Gate-/veg-adresse	52		3013	Marker	Viken	59.3518	11.7145	3	Koordinatane er kontrollerte av ein yr.no-brukar	2020-02-19 01:12:21
1878	Hærland	1878 HÆRLAND	Gate-/veg-adresse	778		3014	Indre Østfold	Viken	59.5533	11.4237	2	Koordinatane er retta av Erik Bolstad	2020-02-19 01:12:19
1880	Eidsberg	1880 EIDSBERG	Gate-/veg-adresse	1543		3014	Indre Østfold	Viken	59.5134	11.3037	2	Koordinatane er retta av Erik Bolstad	2020-02-19 01:12:19
1890	Rakkestad	1890 RAKKESTAD	Gate-/veg-adresse	6384		3016	Rakkestad	Viken	59.4251	11.3454	2	Koordinatane er retta av Erik Bolstad	2020-02-19 01:12:23
1891	Rakkestad	1891 RAKKESTAD	Postboksar			3016	Rakkestad	Viken	59.41687	11.35032	1	Koordinatane gjeld postkontoret	2020-02-19 01:12:09
1892	Degernes	1892 DEGERNES	Gate-/veg-adresse	1186		3016	Rakkestad	Viken	59.3533	11.4226	2	Koordinatane er retta av Erik Bolstad	2020-02-19 01:12:23
1893	Degernes	1893 DEGERNES	Postboksar			3016	Rakkestad	Viken	59.35632	11.42202	1	Koordinatane gjeld postkontoret	2020-02-19 01:12:09
1894	RAKKESTAD	1894 RAKKESTAD	Gate-/veg-adresse			3016	Rakkestad	Viken	59.4042	11.3573	2	Koordinatane er retta av Erik Bolstad	2020-02-19 01:12:23
1900	Fetsund	1900 FETSUND	Gate-/veg-adresse	8085		3030	Lillestrøm	Viken	59.9290	11.1625	2	Koordinatane er retta av Erik Bolstad	2020-02-19 01:12:21
1901	Fetsund	1901 FETSUND	Postboksar			3030	Lillestrøm	Viken	59.92772	11.16335	1	Koordinatane gjeld postkontoret	2020-02-19 01:12:08
1903	Gan	1903 GAN	Gate-/veg-adresse	1393		3030	Lillestrøm	Viken	59.8813	11.2204	2	Koordinatane er retta av Erik Bolstad	2020-02-19 01:12:21
